label,loss,sce_radius,seed,temperature,neighbor_scale,method,nfe,valid,novel,unique_valid,unique_novel,total
ce_temp08_s0,ce,,0,0.8,4.0,euler,8,324,281,324,281,1024
ce_temp08_s0,ce,,0,0.8,4.0,neighbor,8,271,220,271,220,1024
ce_temp08_s0,ce,,0,0.8,4.0,entropy,8,71,64,71,64,1024
ce_temp08_s0,ce,,0,0.8,4.0,euler,16,440,340,439,340,1024
ce_temp08_s0,ce,,0,0.8,4.0,neighbor,16,419,342,418,342,1024
ce_temp08_s0,ce,,0,0.8,4.0,entropy,16,229,197,229,197,1024
ce_temp08_s0,ce,,0,0.8,4.0,euler,32,525,406,525,406,1024
ce_temp08_s0,ce,,0,0.8,4.0,neighbor,32,508,385,508,385,1024
ce_temp08_s0,ce,,0,0.8,4.0,entropy,32,400,317,400,317,1024
ce_temp08_s0,ce,,0,0.8,4.0,euler,64,559,434,557,433,1024
ce_temp08_s0,ce,,0,0.8,4.0,neighbor,64,579,448,579,448,1024
ce_temp08_s0,ce,,0,0.8,4.0,entropy,64,506,374,506,374,1024
ce_temp08_s0,ce,,0,0.8,4.0,euler,128,574,421,573,421,1024
ce_temp08_s0,ce,,0,0.8,4.0,neighbor,128,621,458,620,457,1024
ce_temp08_s0,ce,,0,0.8,4.0,entropy,128,596,426,596,426,1024
ce_temp08_s0,ce,,0,0.8,4.0,euler,256,585,458,584,457,1024
ce_temp08_s0,ce,,0,0.8,4.0,neighbor,256,617,459,617,459,1024
ce_temp08_s0,ce,,0,0.8,4.0,entropy,256,636,445,636,445,1024
ce_temp08_s1,ce,,1,0.8,4.0,euler,8,317,273,317,273,1024
ce_temp08_s1,ce,,1,0.8,4.0,neighbor,8,290,231,290,231,1024
ce_temp08_s1,ce,,1,0.8,4.0,entropy,8,79,72,79,72,1024
ce_temp08_s1,ce,,1,0.8,4.0,euler,16,441,344,440,344,1024
ce_temp08_s1,ce,,1,0.8,4.0,neighbor,16,425,330,423,328,1024
ce_temp08_s1,ce,,1,0.8,4.0,entropy,16,199,172,199,172,1024
ce_temp08_s1,ce,,1,0.8,4.0,euler,32,520,396,519,396,1024
ce_temp08_s1,ce,,1,0.8,4.0,neighbor,32,532,417,532,417,1024
ce_temp08_s1,ce,,1,0.8,4.0,entropy,32,368,295,368,295,1024
ce_temp08_s1,ce,,1,0.8,4.0,euler,64,573,441,572,441,1024
ce_temp08_s1,ce,,1,0.8,4.0,neighbor,64,588,427,586,426,1024
ce_temp08_s1,ce,,1,0.8,4.0,entropy,64,534,411,534,411,1024
ce_temp08_s1,ce,,1,0.8,4.0,euler,128,581,424,581,424,1024
ce_temp08_s1,ce,,1,0.8,4.0,neighbor,128,597,419,596,418,1024
ce_temp08_s1,ce,,1,0.8,4.0,entropy,128,602,430,601,430,1024
ce_temp08_s1,ce,,1,0.8,4.0,euler,256,612,442,611,442,1024
ce_temp08_s1,ce,,1,0.8,4.0,neighbor,256,640,462,640,462,1024
ce_temp08_s1,ce,,1,0.8,4.0,entropy,256,666,474,665,474,1024
ce_temp08_s2,ce,,2,0.8,4.0,euler,8,319,272,319,272,1024
ce_temp08_s2,ce,,2,0.8,4.0,neighbor,8,276,215,276,215,1024
ce_temp08_s2,ce,,2,0.8,4.0,entropy,8,67,62,67,62,1024
ce_temp08_s2,ce,,2,0.8,4.0,euler,16,420,332,420,332,1024
ce_temp08_s2,ce,,2,0.8,4.0,neighbor,16,379,310,378,309,1024
ce_temp08_s2,ce,,2,0.8,4.0,entropy,16,201,170,201,170,1024
ce_temp08_s2,ce,,2,0.8,4.0,euler,32,496,381,495,381,1024
ce_temp08_s2,ce,,2,0.8,4.0,neighbor,32,495,390,493,390,1024
ce_temp08_s2,ce,,2,0.8,4.0,entropy,32,343,267,343,267,1024
ce_temp08_s2,ce,,2,0.8,4.0,euler,64,561,420,560,419,1024
ce_temp08_s2,ce,,2,0.8,4.0,neighbor,64,580,437,578,437,1024
ce_temp08_s2,ce,,2,0.8,4.0,entropy,64,459,338,459,338,1024
ce_temp08_s2,ce,,2,0.8,4.0,euler,128,586,433,586,433,1024
ce_temp08_s2,ce,,2,0.8,4.0,neighbor,128,598,466,598,466,1024
ce_temp08_s2,ce,,2,0.8,4.0,entropy,128,547,408,545,408,1024
ce_temp08_s2,ce,,2,0.8,4.0,euler,256,601,460,601,460,1024
ce_temp08_s2,ce,,2,0.8,4.0,neighbor,256,618,461,617,461,1024
ce_temp08_s2,ce,,2,0.8,4.0,entropy,256,639,445,636,444,1024
ce_temp08_s3,ce,,3,0.8,4.0,euler,8,320,264,319,264,1024
ce_temp08_s3,ce,,3,0.8,4.0,neighbor,8,298,244,298,244,1024
ce_temp08_s3,ce,,3,0.8,4.0,entropy,8,86,82,86,82,1024
ce_temp08_s3,ce,,3,0.8,4.0,euler,16,456,343,456,343,1024
ce_temp08_s3,ce,,3,0.8,4.0,neighbor,16,446,357,445,356,1024
ce_temp08_s3,ce,,3,0.8,4.0,entropy,16,210,171,210,171,1024
