count,entropy,label,neighbors,nll,t
21754,1.190312385559082,ce_r0_s3,0,1.1904687881469727,0.25
7149,1.061009168624878,ce_r0_s3,1,1.033782958984375,0.25
827,0.8587992191314697,ce_r0_s3,2,0.8054697513580322,0.25
43,0.6060276627540588,ce_r0_s3,3,0.482580304145813,0.25
7304,1.0452765226364136,ce_r0_s3,0,1.0206021070480347,0.5
10025,0.8171250820159912,ce_r0_s3,1,0.7947591543197632,0.5
5129,0.6092343926429749,ce_r0_s3,2,0.5768114924430847,0.5
1148,0.42635560035705566,ce_r0_s3,3,0.41023293137550354,0.5
112,0.24762439727783203,ce_r0_s3,4,0.24576163291931152,0.5
612,0.7447453737258911,ce_r0_s3,0,0.6665238738059998,0.75
2946,0.585234522819519,ce_r0_s3,1,0.554266631603241,0.75
5029,0.4369589686393738,ce_r0_s3,2,0.3983483910560608,0.75
4121,0.33234313130378723,ce_r0_s3,3,0.2954169511795044,0.75
1280,0.24588100612163544,ce_r0_s3,4,0.2057473510503769,0.75
21727,1.2107614278793335,sce_r1_s0,0,1.2068225145339966,0.25
7151,1.0783485174179077,sce_r1_s0,1,1.0686498880386353,0.25
838,0.8242962956428528,sce_r1_s0,2,0.817609965801239,0.25
40,0.6249496340751648,sce_r1_s0,3,0.6138186454772949,0.25
7038,1.0821152925491333,sce_r1_s0,0,1.0458039045333862,0.5
10211,0.8343682885169983,sce_r1_s0,1,0.8107008934020996,0.5
5264,0.6023555994033813,sce_r1_s0,2,0.5824602246284485,0.5
1162,0.40918615460395813,sce_r1_s0,3,0.37772420048713684,0.5
88,0.26961055397987366,sce_r1_s0,4,0.28612464666366577,0.5
523,0.7499561905860901,sce_r1_s0,0,0.6960374116897583,0.75
2763,0.6254649758338928,sce_r1_s0,1,0.5937203168869019,0.75
5042,0.4615488648414612,sce_r1_s0,2,0.432725727558136,0.75
4186,0.34275051951408386,sce_r1_s0,3,0.3049190044403076,0.75
1333,0.23934714496135712,sce_r1_s0,4,0.21152044832706451,0.75
21423,1.2161483764648438,sce_r1_s1,0,1.2076547145843506,0.25
7358,1.043410062789917,sce_r1_s1,1,1.0298335552215576,0.25
867,0.8181006908416748,sce_r1_s1,2,0.8417306542396545,0.25
39,0.8677345514297485,sce_r1_s1,3,0.9006782174110413,0.25
3,0.23399905860424042,sce_r1_s1,4,2.743938446044922,0.25
7271,1.0700101852416992,sce_r1_s1,0,1.057560920715332,0.5
10019,0.8141120672225952,sce_r1_s1,1,0.7850248217582703,0.5
5247,0.6017311215400696,sce_r1_s1,2,0.5667306780815125,0.5
1139,0.4443969130516052,sce_r1_s1,3,0.4285481870174408,0.5
89,0.203407883644104,sce_r1_s1,4,0.1513661891222,0.5
598,0.7633723020553589,sce_r1_s1,0,0.7410653829574585,0.75
2795,0.6293482780456543,sce_r1_s1,1,0.5912766456604004,0.75
4888,0.4663114547729492,sce_r1_s1,2,0.4423735737800598,0.75
4268,0.33223655819892883,sce_r1_s1,3,0.31353214383125305,0.75
1258,0.2313368022441864,sce_r1_s1,4,0.200352281332016,0.75
21814,1.2066774368286133,sce_r1_s2,0,1.2195905447006226,0.25
7127,1.0728031396865845,sce_r1_s2,1,1.0530133247375488,0.25
826,0.8059988021850586,sce_r1_s2,2,0.7866011261940002,0.25
26,0.5300148725509644,sce_r1_s2,3,0.3484359681606293,0.25
7341,1.0396223068237305,sce_r1_s2,0,1.0349006652832031,0.5
9985,0.8143990635871887,sce_r1_s2,1,0.7975752353668213,0.5
5196,0.5997846126556396,sce_r1_s2,2,0.5637447237968445,0.5
1172,0.449083536863327,sce_r1_s2,3,0.4509021043777466,0.5
86,0.39527058601379395,sce_r1_s2,4,0.36052629351615906,0.5
619,0.8500579595565796,sce_r1_s2,0,0.8254754543304443,0.75
2767,0.605446994304657,sce_r1_s2,1,0.5840693116188049,0.75
5037,0.4674180746078491,sce_r1_s2,2,0.4323888123035431,0.75
4182,0.32646167278289795,sce_r1_s2,3,0.29926154017448425,0.75
1306,0.23720437288284302,sce_r1_s2,4,0.21232734620571136,0.75
21754,1.1916792392730713,sce_r1_s3,0,1.1930394172668457,0.25
7149,1.0627951622009277,sce_r1_s3,1,1.0379135608673096,0.25
827,0.8579583168029785,sce_r1_s3,2,0.804617702960968,0.25
43,0.610650360584259,sce_r1_s3,3,0.500149130821228,0.25
7304,1.0576751232147217,sce_r1_s3,0,1.03358793258667,0.5
10025,0.8273895382881165,sce_r1_s3,1,0.8038800358772278,0.5
5129,0.6143640279769897,sce_r1_s3,2,0.5826628804206848,0.5
1148,0.42115652561187744,sce_r1_s3,3,0.4091298282146454,0.5
112,0.24925760924816132,sce_r1_s3,4,0.2599785327911377,0.5
