elapsed_seconds,kind,label,loss,lr,step
21.47247338294983,training,ce_r0_s0,4.024473667144775,3.0000000000000004e-08,1
30.861953735351562,training,ce_r0_s0,1.3077620267868042,1.5e-05,500
40.05951428413391,training,ce_r0_s0,1.2084945440292358,3e-05,1000
49.169758796691895,training,ce_r0_s0,1.1444371938705444,2.9968205010093264e-05,1500
58.291744232177734,training,ce_r0_s0,1.091386318206787,2.9872956191401087e-05,2000
67.39065957069397,training,ce_r0_s0,1.062856912612915,2.971466141398797e-05,2500
76.39808416366577,training,ce_r0_s0,1.0370478630065918,2.9493998520392662e-05,3000
85.44485425949097,training,ce_r0_s0,1.0085389614105225,2.921191242300232e-05,3500
94.55273914337158,training,ce_r0_s0,1.0288935899734497,2.8869611057792606e-05,4000
103.6655342578888,training,ce_r0_s0,1.014741063117981,2.846856021176042e-05,4500
112.77241539955139,training,ce_r0_s0,0.9916145205497742,2.8010477246198918e-05,5000
121.86778712272644,training,ce_r0_s0,1.0250169038772583,2.74973237426928e-05,5500
130.949214220047,training,ce_r0_s0,0.9783985018730164,2.6931297103324846e-05,6000
139.96686124801636,training,ce_r0_s0,1.012944221496582,2.6314821141062815e-05,6500
149.03995370864868,training,ce_r0_s0,1.0254184007644653,2.565053570062023e-05,7000
158.1222095489502,training,ce_r0_s0,0.968751072883606,2.4941285354236023e-05,7500
167.19483065605164,training,ce_r0_s0,0.9556639194488525,2.4190107220779503e-05,8000
176.19762992858887,training,ce_r0_s0,0.9773904085159302,2.3400217960341093e-05,8500
185.28194880485535,training,ce_r0_s0,0.9531183838844299,2.2575e-05,9000
194.31580352783203,training,ce_r0_s0,0.9841203093528748,2.171798704975217e-05,9500
203.4227488040924,training,ce_r0_s0,0.9744763970375061,2.0832848970621583e-05,10000
212.57076954841614,training,ce_r0_s0,1.0033077001571655,1.992337605975195e-05,10500
221.65194749832153,training,ce_r0_s0,0.9675740003585815,1.8993462819772435e-05,11000
230.7795910835266,training,ce_r0_s0,0.9667379856109619,1.8047091281939508e-05,11500
239.81988167762756,training,ce_r0_s0,0.9604665637016296,1.708831395446777e-05,12000
248.91875219345093,training,ce_r0_s0,0.9687759876251221,1.6121236469067628e-05,12500
258.1680133342743,training,ce_r0_s0,0.9662214517593384,1.515e-05,13000
267.18482542037964,training,ce_r0_s0,0.9747686982154846,1.4178763530932375e-05,13500
276.24186611175537,training,ce_r0_s0,0.9483422636985779,1.3211686045532237e-05,14000
285.3501133918762,training,ce_r0_s0,0.9655640721321106,1.2252908718060498e-05,14500
294.37817430496216,training,ce_r0_s0,0.9742628931999207,1.1306537180227566e-05,15000
303.3999066352844,training,ce_r0_s0,0.9768505096435547,1.0376623940248055e-05,15500
312.55199456214905,training,ce_r0_s0,0.9553035497665405,9.467151029378419e-06,16000
321.5667896270752,training,ce_r0_s0,0.9613338708877563,8.582012950247835e-06,16500
330.68713116645813,training,ce_r0_s0,0.9428838491439819,7.725000000000003e-06,17000
339.7510190010071,training,ce_r0_s0,0.9798175692558289,6.899782039658911e-06,17500
348.78613352775574,training,ce_r0_s0,0.9569210410118103,6.109892779220499e-06,18000
357.8172564506531,training,ce_r0_s0,0.9648424983024597,5.3587146457639785e-06,18500
366.8666214942932,training,ce_r0_s0,0.9566324949264526,4.649464299379771e-06,19000
375.9287257194519,training,ce_r0_s0,0.9700543284416199,3.9851788589371875e-06,19500
384.9530920982361,training,ce_r0_s0,0.9508746266365051,3.3687028966751593e-06,20000
394.09739089012146,training,ce_r0_s0,0.9651021957397461,2.8026762573072015e-06,20500
403.1739912033081,training,ce_r0_s0,0.9360446333885193,2.2895227538010853e-06,21000
412.20513010025024,training,ce_r0_s0,0.9309685230255127,1.8314397882395793e-06,21500
421.2625036239624,training,ce_r0_s0,0.9428871870040894,1.4303889422073918e-06,22000
430.2745189666748,training,ce_r0_s0,0.9350622892379761,1.0880875769976822e-06,22500
439.4741282463074,training,ce_r0_s0,0.9484944343566895,8.060014796073372e-07,23000
448.50903701782227,training,ce_r0_s0,0.9539188742637634,5.85338586012028e-07,23500
457.6261854171753,training,ce_r0_s0,0.9670231938362122,4.270438085989158e-07,24000
466.6418890953064,training,ce_r0_s0,0.9351387619972229,3.317949899067383e-07,24500
475.8192536830902,training,ce_r0_s0,0.9447836875915527,3e-07,25000
21.285234689712524,training,ce_r0_s1,4.142788887023926,3.0000000000000004e-08,1
30.667200565338135,training,ce_r0_s1,1.2974786758422852,1.5e-05,500
39.93089175224304,training,ce_r0_s1,1.1872214078903198,3e-05,1000
49.10643744468689,training,ce_r0_s1,1.154732346534729,2.9968205010093264e-05,1500
58.33011865615845,training,ce_r0_s1,1.1234623193740845,2.9872956191401087e-05,2000
67.42455434799194,training,ce_r0_s1,1.0372793674468994,2.971466141398797e-05,2500
76.43899440765381,training,ce_r0_s1,1.084960699081421,2.9493998520392662e-05,3000
85.4778401851654,training,ce_r0_s1,1.0334606170654297,2.921191242300232e-05,3500
