run_label,loss,sce_radius,seed,method,nfe,valid,novel,unique_valid,unique_novel,total
sce_r1_s1,sce,1,1,entropy,128,425,336,424,336,1024
sce_r1_s1,sce,1,1,euler,256,414,340,414,340,1024
sce_r1_s1,sce,1,1,neighbor,256,455,360,454,360,1024
sce_r1_s1,sce,1,1,entropy,256,484,388,484,388,1024
sce_r1_s2,sce,1,2,euler,8,222,197,222,197,1024
sce_r1_s2,sce,1,2,neighbor,8,181,159,181,159,1024
sce_r1_s2,sce,1,2,entropy,8,33,32,33,32,1024
sce_r1_s2,sce,1,2,euler,16,278,242,278,242,1024
sce_r1_s2,sce,1,2,neighbor,16,280,241,280,241,1024
sce_r1_s2,sce,1,2,entropy,16,96,87,96,87,1024
sce_r1_s2,sce,1,2,euler,32,374,315,374,315,1024
sce_r1_s2,sce,1,2,neighbor,32,358,313,358,313,1024
sce_r1_s2,sce,1,2,entropy,32,224,202,224,202,1024
sce_r1_s2,sce,1,2,euler,64,383,316,382,316,1024
sce_r1_s2,sce,1,2,neighbor,64,432,364,432,364,1024
sce_r1_s2,sce,1,2,entropy,64,326,284,326,284,1024
sce_r1_s2,sce,1,2,euler,128,418,352,418,352,1024
sce_r1_s2,sce,1,2,neighbor,128,428,356,428,356,1024
sce_r1_s2,sce,1,2,entropy,128,431,356,429,355,1024
sce_r1_s2,sce,1,2,euler,256,419,361,419,361,1024
sce_r1_s2,sce,1,2,neighbor,256,446,353,446,353,1024
sce_r1_s2,sce,1,2,entropy,256,464,368,463,368,1024
sce_r1_s3,sce,1,3,euler,8,205,178,205,178,1024
sce_r1_s3,sce,1,3,neighbor,8,179,160,179,160,1024
sce_r1_s3,sce,1,3,entropy,8,47,45,47,45,1024
sce_r1_s3,sce,1,3,euler,16,310,256,310,256,1024
sce_r1_s3,sce,1,3,neighbor,16,322,283,322,283,1024
sce_r1_s3,sce,1,3,entropy,16,127,123,127,123,1024
sce_r1_s3,sce,1,3,euler,32,382,310,382,310,1024
sce_r1_s3,sce,1,3,neighbor,32,406,341,406,341,1024
sce_r1_s3,sce,1,3,entropy,32,261,225,261,225,1024
sce_r1_s3,sce,1,3,euler,64,400,315,400,315,1024
sce_r1_s3,sce,1,3,neighbor,64,408,340,408,340,1024
sce_r1_s3,sce,1,3,entropy,64,374,303,374,303,1024
sce_r1_s3,sce,1,3,euler,128,420,346,420,346,1024
sce_r1_s3,sce,1,3,neighbor,128,447,366,447,366,1024
sce_r1_s3,sce,1,3,entropy,128,446,344,446,344,1024
sce_r1_s3,sce,1,3,euler,256,431,341,430,340,1024
sce_r1_s3,sce,1,3,neighbor,256,462,372,462,372,1024
sce_r1_s3,sce,1,3,entropy,256,504,396,504,396,1024
sce_r2_s0,sce,2,0,euler,8,177,158,177,158,1024
sce_r2_s0,sce,2,0,neighbor,8,168,149,168,149,1024
sce_r2_s0,sce,2,0,entropy,8,35,33,35,33,1024
sce_r2_s0,sce,2,0,euler,16,280,248,280,248,1024
sce_r2_s0,sce,2,0,neighbor,16,281,235,281,235,1024
